pitch_St,pitch_amp,thrust_loss
0.54,3.5,0.994229923253888
0.54,4,0.994152310869199
0.54,4.5,0.994460640869345
0.54,5,0.993110328128384
0.54,5.5,0.990098489624492
0.55,0.5,0.996536917191675
0.55,1,0.996094469402855
0.55,1.5,0.996240668413549
0.55,2,0.997740224729485
0.55,2.5,0.998820837000703
0.55,3,0.996828261121908
0.55,3.5,0.994488867805959
0.55,4,0.994364640109351
0.55,4.5,0.994640624052308
0.55,5,0.993355472411943
0.55,5.5,0.99045207539547
0.56,0.5,0.996492240192729
0.56,1,0.996111644452507
0.56,1.5,0.996324855644299
0.56,2,0.99778292674052
0.56,2.5,0.998779266866005
0.56,3,0.996934751893178
0.56,3.5,0.994733453518636
0.56,4,0.994568742159563
0.56,4.5,0.994810721584752
0.56,5,0.99358465055713
0.56,5.5,0.990785457914045
0.57,0.5,0.996448665326792
0.57,1,0.996127672412719
0.57,1.5,0.99640065777905
0.57,2,0.997815040251439
0.57,2.5,0.99873564819894
0.57,3,0.997030710734885
0.57,3.5,0.994963604454929
0.57,4,0.994764276713382
0.57,4.5,0.994971389656667
0.57,5,0.993798809209531
0.57,5.5,0.991099592425517
0.58,0.5,0.996406008002938
0.58,1,0.996142152314595
0.58,1.5,0.996468072647287
0.58,2,0.997837410148293
0.58,2.5,0.99869016179592
0.58,3,0.997116691112977
0.58,3.5,0.995179368236183
0.58,4,0.994950963130244
0.58,4.5,0.995123018004109
0.58,5,0.993998823150961
0.58,5.5,0.991395395288561
0.59,0.5,0.996364083381635
0.59,1,0.996154732740023
0.59,1.5,0.996527178338271
0.59,2,0.997850812744408
0.59,2.5,0.998642933138172
0.59,3,0.997193200864147
0.59,3.5,0.995380893344518
0.59,4,0.995128580652351
0.59,4.5,0.995265941737167
0.59,5,0.994185499959603
0.59,5.5,0.991673743717757
0.6,0.5,0.996322709532116
0.6,1,0.996165110867916
0.6,1.5,0.996578117794959
0.6,2,0.997855958927217
0.6,2.5,0.998594045438522
0.6,3,0.99726070667242
0.6,3.5,0.99556840950906
0.6,4,0.99529696689578
0.6,4.5,0.995400451687362
0.6,5,0.99435958475972
0.6,5.5,0.991935475909557
0.61,0.5,0.99628171007948
0.61,1,0.996173030714718
0.61,1.5,0.996621085387222
0.61,2,0.997853498408606
0.61,2.5,0.998543550267658
0.61,3,0.997319638906011
0.61,3.5,0.995742210928179
0.61,4,0.995456015128356
0.61,4.5,0.99552680334765
0.61,5,0.994521764963309
0.61,5.5,0.99218139149213
0.62,0.5,0.996240916371714
0.62,1,0.996178280778291
0.62,1.5,0.99665631537562
0.62,2,0.997844024453672
0.62,2.5,0.998491476179436
0.62,3,0.997370396346828
0.62,3.5,0.995902642049723
0.62,4,0.995605670734919
0.62,4.5,0.995645224504493
0.62,5,0.994672674924087
0.62,5.5,0.992412252244587
0.63,0.5,0.996200169202816
0.63,1,0.996180691264796
0.63,1.5,0.996684072123796
0.63,2,0.997828078721452
0.63,2.5,0.998437835681672
0.63,3,0.997413350563693
0.63,3.5,0.99605008562152
0.63,4,0.995745927179734
0.63,4.5,0.995755921676185
0.63,5,0.99481290044087
0.63,5.5,0.992628783036141
0.64,0.5,0.996159320131954
0.64,1,0.996180131049341
0.64,1.5,0.996704641889784
0.64,2,0.997806156009859
0.64,2.5,0.99838263083959
0.64,3,0.997448849820198
0.64,3.5,0.99618495272953
0.64,4,0.995876821702747
0.64,4.5,0.995859085478277
0.64,5,0.994942983062411
0.64,5.5,0.992831672940574
0.65,0.5,0.996118232440484
0.65,1,0.99617650449405
0.65,1.5,0.9967183260164
0.65,2,0.997778708790724
0.65,2.5,0.998325857750298
0.65,3,0.997477222491015
0.65,3.5,0.996307674556185
0.65,4,0.995998430927565
0.65,4.5,0.995954895037107
0.65,5,0.995063424158996
0.65,5.5,0.993021576486152
0.66,0.5,0.996076781768931
0.66,1,0.99616974822262
0.66,1.5,0.996725435342821
0.66,2,0.997746151475522
0.66,2.5,0.998267510086683
0.66,3,0.997498780005606
0.66,3.5,0.996418695612631
0.66,4,0.996110866512243
0.66,4.5,0.996043521568709
0.66,5,0.995174688737502
0.66,5.5,0.993199115005663
0.67,0.5,0.996034856475179
0.67,1,0.996159827928515
0.67,1.5,0.996726285668692
0.67,2,0.997708864383978
0.67,2.5,0.998207581875725
0.67,3,0.997513819359967
0.67,3.5,0.996518468222865
0.67,4,0.996214270936683
0.67,4.5,0.996125131233644
0.67,5,0.99527720898623
0.67,5.5,0.993364878055593
0.68,0.5,0.995992357753398
0.68,1,0.996146735275119
0.68,1.5,0.996721194115681
0.68,2,0.997667197406484
0.68,2.5,0.998146069648709
0.68,3,0.997522625245312
0.68,3.5,0.996607448063073
0.68,4,0.996308813491287
0.68,4.5,0.996199887369913
0.68,5,0.995371387543781
