pitch_St,pitch_amp,power_loss
0.82,4.5,0.989855891185556
0.82,5,0.988098156180746
0.82,5.5,0.986274164120906
0.83,0.5,0.999320387594308
0.83,1,0.998633450039357
0.83,1.5,0.997809860261162
0.83,2,0.996838329365237
0.83,2.5,0.995714771907813
0.83,3,0.994442855090383
0.83,3.5,0.993033054398165
0.83,4,0.991501251276127
0.83,4.5,0.989866526775481
0.83,5,0.988148189237934
0.83,5.5,0.986363431103867
0.84,0.5,0.999154850037344
