,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200
2012-12-20 01:00:00,8.101414693308207,10.805687034235403,11.409171631116264,11.841401395545681,12.21349002451849,118.98924759207848,119.65294656571649,120.32323236725868,121.41079119591565,123.2522232432288
2012-12-20 02:00:00,8.420317904241704,11.295243230159763,11.940275030646577,12.376619925575,12.713092680778278,118.5406817293548,119.2156285161487,119.90042501933827,120.79459484641882,122.43643072436763
2012-12-20 03:00:00,8.838177194958087,11.938206970257388,12.635729079750773,13.08900430924232,13.44102089659255,118.7586219198764,119.45926618593857,120.17004247346362,120.91898465437897,122.37609287439084
2012-12-20 04:00:00,9.26582864129086,12.611950305843497,13.365199414705902,13.791613083390304,14.1263739767069,119.51633318283282,120.16822601219764,120.83243083278043,121.66988323295429,122.66237255724077
2012-12-20 05:00:00,9.49645717989589,13.00728707021648,13.798308353467503,14.251471291523309,14.617863069909184,121.92958481347095,122.48815212791355,123.05257767514804,123.76167595393453,124.49194795457271
2012-12-20 06:00:00,9.294896266349213,12.872401138398226,13.685058155637147,14.244862864046581,14.778335869873475,121.07585995542236,121.64933414787313,122.23536586317017,123.13120315346706,124.1715203995016
2012-12-20 07:00:00,9.205496488692283,12.814902675357459,13.637391344608885,14.307335489721117,14.992301054299997,118.10505375261837,118.70538106957517,119.31179006766286,120.54306175343878,122.02584857701116
2012-12-20 08:00:00,9.431897875008469,13.174246593596164,14.027496773447112,14.759309350051256,15.535880419320113,116.50324553021564,117.11089947882975,117.73076887598533,119.23928394607485,121.01942114081123
2012-12-20 09:00:00,9.716245430493123,13.696973820222832,14.607079928871075,15.38847060334445,16.15781129815481,117.72023314414761,118.30920787830046,118.91198581249226,120.46649442805325,122.05224607093392
2012-12-20 10:00:00,9.778661143422758,13.315228795335232,14.113423300229606,14.533659919339536,14.882639656097384,115.575655956582,115.98604274809537,116.40129186827686,117.44205154489372,118.37706687728033
2012-12-20 11:00:00,10.227398737553399,14.04663453464086,14.912853276285734,15.273914049235186,15.618483205633224,117.24246461365581,117.60716514924842,117.97702233659938,118.81465837611418,119.42196691654522
2012-12-20 12:00:00,9.650902158341225,13.516934637229824,14.399075605856089,14.952068622329296,15.480465716630652,117.19257274237012,117.71488844959927,118.24830175701251,119.58955410360528,120.56559717393101
2012-12-20 13:00:00,9.47762001220996,13.266568960878685,14.128642728851277,14.736163986916681,15.230663169982524,116.20349743076507,116.79517782384065,117.4003882278187,118.99139896558741,119.92153504007048
2012-12-20 14:00:00,9.584933101037775,13.37249243689414,14.234176242064734,14.72279430639165,15.210196135361757,116.42907038911183,116.99686561579948,117.57753169833525,118.77320611916153,119.54383599919153
2012-12-20 15:00:00,9.677235456618716,13.479409957636532,14.34440080625764,14.744348749733758,15.216673034080939,116.83374523932362,117.36640553022163,117.90609174558209,118.59764217119938,119.26596523379456
2012-12-20 16:00:00,9.676715744500934,13.366941524547252,14.20416955263572,14.657535852324404,15.12221378949023,115.95020602119004,116.40829138580911,116.8777700210043,117.7471726461224,118.34702290317846
2012-12-20 17:00:00,9.565074049483561,13.105344639541206,13.904118231568198,14.391084069204037,14.86524707017245,116.59903923953574,117.04333488888764,117.49302024478126,118.36105610163578,118.9535891863242
2012-12-20 18:00:00,9.450507746911715,13.04418556710002,13.860655856670062,14.19020140271271,14.67980342380471,117.47414616776749,117.9923151118578,118.5217783384833,119.46519519598483,120.10786721392299
2012-12-20 19:00:00,9.43835317333705,13.019615485455988,13.831264479935557,14.328214129396942,14.797192072766558,117.83191427421414,118.3332995172075,118.8377504166679,120.23628900943336,121.03546702328057
2012-12-20 20:00:00,9.615533231714055,12.95862820883697,13.708680169340216,13.895458806331908,14.235431118036097,118.83385508048033,119.1794920178204,119.53406548065644,120.1692849295668,120.74541513978052
2012-12-20 21:00:00,9.449258101729582,12.706468782223187,13.436250808962292,13.712165503772306,14.07784225911636,118.8616903895546,119.33901957325402,119.82259063255545,120.81414170893353,121.47046859164415
2012-12-20 22:00:00,9.150456335607084,12.060222974372099,12.709358372469623,12.901930173705054,13.142079330545343,120.45859421920409,120.98817022253354,121.52354812939149,122.46932693920692,123.09371946085999
2012-12-20 23:00:00,9.140231771557653,11.951759149348947,12.577381010133298,12.797282210287777,13.077883164821179,120.72241647289061,121.17234170995187,121.63134233261815,122.62533555207494,123.28019648038607
2012-12-21 00:00:00,9.019413354834608,11.75369952505046,12.36230832661091,12.553953551973285,12.844074945209837,120.57434216661377,120.93383564911535,121.30536438188153,122.39035661061943,123.05404191923418
2012-12-21 01:00:00,8.8087028427825,11.386674343844476,11.95616410108944,12.158403507641603,12.422684656934043,120.9562130930098,121.45560077353792,121.95883223868186,123.13105658245831,123.87413322245277
2012-12-21 02:00:00,8.459656196894462,10.873633327211515,11.40687097325692,11.623333831342567,11.885200236746735,122.55355413859785,123.16431781248212,123.78280233190526,125.52896656398083,126.61275701549997
2012-12-21 03:00:00,8.29338000601605,10.512794277531265,11.003258196607304,11.043456684312593,11.267834005017344,123.4480741103711,123.97220781701131,124.50579853692726,127.89234959504373,129.7462830522119
2012-12-21 04:00:00,8.040067716908075,10.270141497110512,10.76501237584267,10.550767726019545,10.717453150410682,124.99388879139865,125.43456589601007,125.88639699606483,130.78300953209992,133.41876490273194
2012-12-21 05:00:00,7.778509744965363,9.805755038684723,10.251068259811229,10.06642452836299,10.092538255764657,125.1893671842447,126.19828752120766,127.2274611039824,131.73651147475374,135.15683701981516
2012-12-21 06:00:00,7.397836928611974,8.957636499924794,9.2975724390441,9.397235129935215,9.33959518420834,127.16122650684264,128.6973125182259,130.26872962409206,134.5925411766025,138.44799837547066
2012-12-21 07:00:00,6.444534051674328,7.615327484061139,7.870382318802367,8.121704676322835,8.080407768388818,132.20022706295842,134.61512424034643,137.07883695715614,142.3868855100656,147.37857583140106
2012-12-21 08:00:00,5.327015449504355,6.204397605128154,6.396230336727542,6.636618399914901,6.545840098232168,135.87762565496385,140.1585775156919,144.5233043956704,151.7154708021297,159.74959506561126
2012-12-21 09:00:00,4.747899542350751,5.1775253457301345,5.274773653957436,5.564387286881631,5.416347286565218,142.7255127527923,148.2634037216973,153.90816514609017,161.16038997604454,170.86009087164462
2012-12-21 10:00:00,4.689927442805886,5.156604281763279,5.2645008940643585,5.360276934755976,5.118599035447211,139.48555047801602,146.02649809304748,152.69675003273215,158.17904086010228,168.61699132898076
2012-12-21 11:00:00,4.003475507775609,4.377298690319773,4.461922952892146,4.733887839950191,4.707204664969927,152.8140394893739,160.5546700712449,168.4537082637629,173.69104638970435,183.2979207182355
2012-12-21 12:00:00,2.982998799442306,3.636894244931563,3.7790545451427007,4.083675739437901,4.215164088877806,172.15023139277415,179.67971709611422,187.36830798644834,191.95445320987227,200.33300591465223
2012-12-21 13:00:00,2.832038205479681,3.708017256514015,3.904181091343388,4.119092211208891,4.294053082889575,183.58297249664548,191.55831789180655,199.70086177188278,203.96289546734488,210.61468836689698
2012-12-21 14:00:00,2.6741573358999426,3.588729969936442,3.7939952009491607,4.0047006690944,4.281447788440311,188.5028270991324,197.04917850872923,205.76284103759815,212.62233068966708,219.18315875012746
2012-12-21 15:00:00,2.81099490242578,3.724862738078021,3.927883453421895,4.141151273160992,4.441860875608353,188.27715724538484,196.29032476864614,204.47226182903253,213.89275810028244,220.23505004146315
2012-12-21 16:00:00,2.7950954835227457,3.969835613727359,4.2402372811312645,4.360309202015353,4.562700740401145,180.79926156488955,188.9101558208624,197.17862428433455,206.32173952972403,213.19882148209535
2012-12-21 17:00:00,3.1011541688401794,4.581985957473847,4.927971135942794,5.132640376259361,5.288827379654582,176.60455409719987,184.47415135625835,192.50279590021788,199.05584851564947,205.54347012587309
2012-12-21 18:00:00,3.1659289092006833,5.101380121568254,5.570494479675907,6.034347203105251,6.195524943466703,183.46307964278566,190.61639955819513,197.9148427451724,201.97109347591345,207.153370995363
2012-12-21 19:00:00,3.0900034151892473,5.0995374921338765,5.593603798079931,6.286506018280201,6.507245432032627,191.45014995458718,198.6221905509864,205.9427499736612,210.13115251098245,215.811094664661
2012-12-21 20:00:00,2.7630260272297185,4.60494426258206,5.058923976171992,5.629594968771371,5.855044813873694,201.55066259105115,208.9467223434398,216.4919615836286,221.60822557768472,227.44682811111488
2012-12-21 21:00:00,3.2678358339876845,5.5029905400885575,6.058209751896173,6.652376994738003,6.884677809575047,223.24115828667638,228.61916487560052,234.10949248318056,238.6987303876777,242.40606856281298
2012-12-21 22:00:00,3.7441477447327096,6.172380271874334,6.767340341619899,7.562672596515141,7.790994917091887,237.3518462054302,240.95030019667485,244.6234751670736,249.15256694925773,251.21848242140013
2012-12-21 23:00:00,4.147928973565961,6.937349704610256,7.625043885269375,8.561040028697166,8.745129761238003,246.46960431821768,249.00987289189305,251.59931895696158,256.4128833492124,258.1008156855681
2012-12-22 00:00:00,5.107605355820849,8.059956346880293,8.770791847611374,9.869637222505949,10.046637162539778,251.80831877334595,253.57752918360887,255.38169638742932,259.17821585277704,260.474327309231
2012-12-22 01:00:00,5.099755492867142,7.832941748432146,8.482426145421258,9.416956552751579,9.587014719519527,250.79531605389593,252.55395195829186,254.3435085981167,257.69982424009555,258.8938290474146
2012-12-22 02:00:00,5.636124017456356,8.757103616639121,9.50184863792434,10.487653532331242,10.706888219236946,249.5331785585122,250.97236712215172,252.43827108193057,254.81320862573278,255.76055773938975
